Price (Target),Brand,CPU_Tier,CPU_Gen,RAM_GB,Storage_GB,Storage_Type,Has_Dedicated_GPU,Condition,Location,Is_Member
21999.0,Other,Core i7,3,,,Unknown/eMMC,0,Used,Kandy,1
33999.0,Other,Core i7,4,4.0,500.0,Unknown/eMMC,0,Used,Kandy,1
26999.0,Other,Core i5,4,4.0,500.0,Unknown/eMMC,0,Used,Kandy,1
69450.0,HP,Ryzen 7,Unknown,8.0,256.0,NVMe SSD,0,Used,Gampaha,1
25999.0,Other,Core i7,4,500.0,500.0,HDD,0,Used,Kandy,1
86000.0,MSI,Core i7,7,,,Unknown/eMMC,0,Used,Puttalam,0
140000.0,Other,Ryzen 5,Unknown,,,Unknown/eMMC,0,Used,Kalutara,0
20450.0,Other,Core i3,4,8.0,500.0,HDD,0,Used,Gampaha,1
12000.0,Apple,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
84000.0,Other,Core i5,7,,,Unknown/eMMC,0,Used,Puttalam,0
125000.0,HP,Core i5,12,16.0,256.0,NVMe SSD,0,Used,Colombo,1
35500.0,Other,Core i5,4,4.0,,HDD,0,Used,Trincomalee,0
69500.0,Other,Core i3,10,,,Unknown/eMMC,1,Used,Colombo,1
34990.0,HP,Core i3,6,8.0,128.0,SSD,0,Used,Colombo,1
149990.0,HP,Ryzen 3,13,8.0,512.0,Unknown/eMMC,0,New,Colombo,1
206990.0,Asus,Unknown,Unknown,8.0,512.0,Unknown/eMMC,0,New,Colombo,1
119500.0,Other,Ryzen 7,Unknown,512.0,512.0,SSD,1,Used,Colombo,1
497000.0,Apple,Unknown,Unknown,16.0,512.0,Unknown/eMMC,0,Used,Colombo,1
144000.0,HP,Core i3,13,8.0,512.0,SSD,0,Used,Colombo,1
269000.0,HP,Core i5,13,512.0,512.0,SSD,1,New,Colombo,1
42000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,New,Colombo,1
109500.0,HP,Ryzen 5,Unknown,16.0,,Unknown/eMMC,1,Used,Colombo,1
40000.0,HP,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kandy,0
46000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kandy,0
52000.0,Dell,Core i5,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
119500.0,HP,Unknown,11,,,Unknown/eMMC,0,Used,Kandy,1
98990.0,HP,Core i5,11,,,Unknown/eMMC,0,Used,Gampaha,1
69000.0,Dell,Core i5,8,,,Unknown/eMMC,0,Used,Gampaha,0
289000.0,Acer,Core i5,13,,,Unknown/eMMC,1,New,Colombo,1
35000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Matara,0
76000.0,Lenovo,Core i5,8,,,Unknown/eMMC,0,Used,Colombo,1
346000.0,Acer,Ryzen 7,Unknown,8.0,,Unknown/eMMC,1,New,Colombo,1
448500.0,Other,Core i7,Unknown,16.0,512.0,NVMe SSD,1,Used,Colombo,1
39990.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
95000.0,Dell,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
189500.0,Dell,Core i5,13,8.0,512.0,NVMe SSD,0,Used,Colombo,1
74000.0,HP,Core i5,8,,,Unknown/eMMC,0,Used,Colombo,1
27990.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
197500.0,HP,Unknown,14,16.0,512.0,NVMe SSD,0,Used,Colombo,1
244500.0,HP,Core i5,Unknown,6.0,512.0,Unknown/eMMC,1,Used,Colombo,1
113500.0,Dell,Unknown,11,5420.0,,Unknown/eMMC,0,Used,Kandy,1
53000.0,Lenovo,Core i5,6,8.0,,SSD,0,Used,Galle,1
79500.0,Lenovo,Ryzen 5,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
52000.0,Dell,Core i5,6,8.0,256.0,SSD,0,Used,Colombo,1
47490.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
189500.0,Dell,Core i5,13,8.0,512.0,NVMe SSD,0,Used,Colombo,1
117500.0,Other,Core i7,10,32.0,512.0,NVMe SSD,0,Used,Colombo,1
114500.0,HP,Unknown,10,,,Unknown/eMMC,0,Used,Colombo,1
156500.0,Dell,Core i3,14,8.0,512.0,NVMe SSD,0,Used,Colombo,1
33500.0,HP,Core i5,6,4.0,500.0,HDD,1,Used,Colombo,1
41990.0,Other,Unknown,Unknown,4.0,128.0,Unknown/eMMC,0,Used,Colombo,1
174500.0,Dell,Core i7,11,32.0,512.0,NVMe SSD,0,Used,Colombo,1
27490.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
29500.0,Dell,Core i7,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
112500.0,Apple,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
139500.0,Lenovo,Core i7,Unknown,16.0,512.0,NVMe SSD,0,Used,Colombo,1
88000.0,Asus,Core i5,10,,,Unknown/eMMC,0,Used,Puttalam,0
129990.0,Samsung,Unknown,Unknown,5.0,128.0,Unknown/eMMC,0,Used,Colombo,1
88000.0,Lenovo,Core i5,11,,,Unknown/eMMC,0,Used,Colombo,1
50000.0,Asus,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kandy,0
65000.0,Dell,Core i5,6,,,Unknown/eMMC,0,Used,Kurunegala,0
29500.0,Other,Core i3,2,8.0,500.0,HDD,0,Used,Colombo,1
89500.0,Dell,Core i7,8,8.0,256.0,NVMe SSD,0,Used,Colombo,1
105500.0,Dell,Core i7,Unknown,,,Unknown/eMMC,0,Used,Kandy,1
89990.0,Samsung,Unknown,Unknown,5.0,128.0,Unknown/eMMC,0,Used,Colombo,1
119500.0,HP,Unknown,10,,,Unknown/eMMC,0,Used,Kandy,1
50000.0,Other,Core i5,4,,,Unknown/eMMC,0,Used,Colombo,0
235000.0,Apple,Apple M3,Unknown,,,Unknown/eMMC,0,Used,Galle,0
82990.0,Samsung,Unknown,Unknown,5.0,,Unknown/eMMC,0,Used,Colombo,1
88000.0,Dell,Core i5,10,,,Unknown/eMMC,0,Used,Colombo,1
439900.0,Apple,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
44900.0,Other,Core i5,Unknown,8.0,,SSD,0,Used,Gampaha,1
125000.0,Other,Core i7,6,,,Unknown/eMMC,0,Used,Trincomalee,0
92000.0,Lenovo,Core i5,Unknown,16.0,512.0,NVMe SSD,0,Used,Colombo,1
110000.0,Other,Core i5,Unknown,,,Unknown/eMMC,0,Used,Kegalle,0
71500.0,Dell,Core i5,8,,,Unknown/eMMC,0,Used,Colombo,1
74990.0,Samsung,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
118500.0,Dell,Core i7,11,,,Unknown/eMMC,0,Used,Colombo,1
46490.0,Samsung,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
10000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kurunegala,0
479000.0,MSI,Core i7,14,,,Unknown/eMMC,1,New,Colombo,1
329990.0,Apple,Apple M4,Unknown,256.0,256.0,Unknown/eMMC,0,Used,Colombo,1
125000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Ampara,0
169500.0,HP,Core i7,11,32.0,512.0,NVMe SSD,0,Used,Colombo,1
236990.0,Apple,Apple M2,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
8000.0,HP,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kalutara,1
166000.0,Lenovo,Core i5,13,8.0,,Unknown/eMMC,0,New,Colombo,1
100000.0,Asus,Core i5,Unknown,,,Unknown/eMMC,0,Used,Matara,0
195000.0,MSI,Core i5,13,512.0,512.0,SSD,0,New,Colombo,1
180000.0,Samsung,Unknown,Unknown,12.0,256.0,Unknown/eMMC,0,Used,Colombo,1
148500.0,Lenovo,Ryzen 5,Unknown,8.0,,Unknown/eMMC,0,New,Colombo,1
115000.0,Other,Unknown,Unknown,5.0,,Unknown/eMMC,0,Used,Colombo,0
14000.0,Other,Core i3,2,,,Unknown/eMMC,0,Used,Galle,0
563000.0,Apple,Unknown,Unknown,16.0,1024.0,Unknown/eMMC,0,Used,Colombo,1
150000.0,Other,Core i5,6,,,Unknown/eMMC,0,Used,Kandy,0
178000.0,Lenovo,Ryzen 7,Unknown,8.0,512.0,NVMe SSD,0,New,Colombo,1
35900.0,Samsung,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
57000.0,Dell,Core i5,Unknown,256.0,256.0,NVMe SSD,0,Used,Ratnapura,1
339990.0,HP,Ryzen 7,15,,,Unknown/eMMC,1,New,Colombo,1
62000.0,Lenovo,Core i5,7,8.0,,SSD,0,Used,Colombo,1
435000.0,Apple,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
78500.0,Dell,Core i5,10,8.0,1024.0,SSD,0,Used,Gampaha,0
180000.0,HP,Core Ultra 5,Unknown,512.0,512.0,SSD,0,New,Colombo,1
395000.0,Asus,Unknown,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
107990.0,HP,Core i5,10,16.0,256.0,SSD,0,Used,Ratnapura,1
159000.0,Asus,Unknown,14,,,Unknown/eMMC,0,New,Colombo,1
